"w1","w2","rank"
"abandoned","cars",3
"abandoned","us",4
"abc","family",21
"abc","news",26
"abe","lincoln",9
"ability","ability",4
"ability","change",5
"ability","fight",3
"ability","find",6
"ability","focus",8
"ability","generate",3
"ability","get",21
"ability","go",10
"ability","live",5
"ability","make",24
"ability","play",6
"ability","read",3
"ability","see",10
"ability","take",7
"ability","understand",4
"ability","walk",4
"able","access",6
"able","adjust",3
"able","afford",20
"able","attend",21
"able","avoid",7
"able","become",7
"able","bring",8
"able","build",9
"able","buy",17
"able","call",9
"able","capture",8
"able","catch",10
"able","check",9
"able","choose",7
"able","comment",5
"able","compete",7
"able","connect",10
"able","continue",5
"able","control",8
"able","convince",3
"able","cover",5
"able","create",9
"able","deal",6
"able","distinguish",4
"able","drive",8
"able","enjoy",16
"able","enter",4
"able","escape",9
"able","explain",6
"able","express",5
"able","fall",3
"able","fight",4
"able","figure",8
"able","fill",4
"able","finally",6
"able","find",49
"able","finish",10
"able","fit",8
"able","focus",7
"able","fulfill",3
"able","get",183
"able","give",19
"able","go",50
"able","grow",6
"able","handle",16
"able","hang",6
"able","hear",8
"able","help",30
"able","hit",6
"able","hold",20
"able","hook",3
"able","join",10
"able","jump",4
"able","just",8
"able","keep",39
"able","leave",9
"able","lift",4
"able","live",10
"able","log",5
"able","make",87
"able","meet",6
"able","move",18
"able","offer",13
"able","open",8
"able","part",4
"able","pass",7
"able","pay",19
"able","perform",5
"able","pick",11
"able","play",37
"able","produce",4
"able","provide",17
"able","pull",14
"able","purchase",6
"able","put",34
"able","race",3
"able","read",21
"able","recognize",6
"able","recover",7
"able","rent",5
"able","return",11
"able","run",13
"able","save",6
"able","say",25
"able","see",78
"able","sell",12
"able","shake",4
"able","show",9
"able","sign",4
"able","sit",8
"able","sleep",21
"able","spell",4
"able","spend",10
"able","stand",5
"able","start",5
"able","stay",17
"able","steal",3
"able","stop",13
"able","support",5
"able","survive",5
"able","take",41
"able","talk",21
"able","tell",31
"able","things",9
"able","think",4
"able","throw",8
"able","touch",3
"able","turn",6
"able","use",32
"able","view",6
"able","visit",6
"able","walk",18
"able","watch",26
"able","win",12
"able","work",24
"able","write",17
"abraham","lincoln",39
"abroad","will",5
"absence","will",3
"absolute","best",10
"absolute","nonsense",3
"absolutely","adored",3
"absolutely","beautiful",16
"absolutely","can",6
"absolutely","correct",8
"absolutely","enjoy",4
"absolutely","every",4
"absolutely","fabulous",9
"absolutely","fantastic",4
"absolutely","gorgeous",14
"absolutely","help",3
"absolutely","idea",13
"absolutely","incredible",6
"absolutely","love",75
"absolutely","loved",24
"absolutely","necessary",16
"absolutely","nothing",50
"absolutely","one",8
"absolutely","positively",5
"absolutely","ridiculous",7
"absolutely","right",15
"absolutely","stunning",8
"absolutely","true",7
"absolutely","vital",4
"absolutely","way",7
"absolutely","wonderful",11
"abu","dhabi",9
"abundantly","clear",5
"abuse","neglect",21
"abuse","power",10
"abuse","will",3
"abused","children",8
"abusive","relationship",3
"ac","dc",14
"ac","milan",4
"academic","achievement",6
"academic","circles",3
"academic","year",16
"academy","american",7
"academy","art",3
"academy","arts",5
"academy","award",23
"academy","awards",27
"academy","will",8
"accent","like",7
"accept","cash",5
"accept","even",4
"accept","fact",11
"accept","full",3
"accept","life",3
"accept","offer",8
"accept","reality",3
"accept","responsibility",5
"accept","things",6
"accepted","just",4
"accepted","will",6
"access","computer",5
"access","content",4
"access","free",6
"access","government",5
"access","health",13
"access","information",10
"access","internet",13
"access","justice",4
"access","key",3
"access","money",5
"access","new",4
"access","point",3
"access","public",6
"access","resources",5
"accessible","people",4
"accessories","like",4
"accident","can",4
"accident","just",4
"accident","will",3
"accidental","drowning",3
"accomplish","anything",8
"accomplish","goals",9
"accomplish","something",6
"accomplished","far",3
"accomplished","life",5
"accomplished","much",6
"accomplished","something",5
"according","article",6
"according","bloomberg",4
"according","jim",4
"according","john",7
"according","latest",15
"according","national",43
"according","new",36
"according","news",21
"according","nielsen",9
"according","one",18
"according","people",20
"according","plan",10
"according","police",56
"according","recent",19
"according","report",76
"according","reports",12
"according","research",12
"according","sources",11
"according","us",37
"according","wall",7
"account","can",13
"account","executive",8
"account","information",6
"account","just",14
"account","like",5
"account","man",3
"account","manager",6
"account","new",6
"account","one",5
"account","people",3
"account","since",4
"account","three",4
"account","us",3
"account","used",7
"accounting","firm",7
"accounting","manager",3
"accounting","services",3
"accurate","assessment",4
"accurate","information",6
"accurately","describe",6
"accurately","reflect",4
"accused","killing",16
"accused","lying",9
"accused","stealing",7
"accused","using",7
"ace","hardware",3
"achieve","anything",5
"achieve","best",3
"achieve","goal",13
"achieve","goals",15
"achieve","perfection",3
"achieve","success",5
"achieved","success",4
"achievement","award",18
"achilles","heel",3
"achilles","injury",6
"acid","rain",4
"acknowledge","new",3
"acoustic","guitar",12
"acoustic","set",11
"acquire","new",6
"acquired","taste",12
"across","aisle",7
"across","america",20
"across","atlantic",11
"across","board",28
"across","border",17
"across","bridge",12
"across","city",18
"across","continent",7
"across","country",190
"across","desk",6
"across","entire",5
"across","europe",13
"across","globe",16
"across","hall",10
"across","many",5
"across","miles",5
"across","multiple",6
"across","nation",29
"across","new",9
"across","north",11
"across","ocean",6
"across","one",6
"across","pacific",6
"across","parking",5
"across","pond",6
"across","river",16
"across","road",16
"across","room",19
"across","screen",4
"across","southern",7
"across","stage",14
"across","state",64
"across","street",120
"across","table",11
"across","texas",4
"across","top",15
"across","town",21
"across","tv",5
"across","universe",6
"across","us",16
"across","way",5
"across","web",8
"across","whole",5
"across","world",21
"act","accordingly",10
"act","act",5
"act","crazy",5
"act","good",6
"act","just",9
"act","like",193
"act","made",3
"act","makes",11
"act","now",9
"act","one",6
"act","public",5
"act","quickly",9
"act","signed",4
"act","together",17
"act","way",7
"act","will",11
"acted","like",19
"acting","career",8
"acting","funny",4
"acting","just",7
"acting","like",63
"action","coming",4
"action","even",6
"action","figure",8
"action","figures",13
"action","flick",4
"action","great",4
"action","hero",4
"action","just",8
"action","lawsuit",4
"action","must",4
"action","network",7
"action","now",6
"action","plan",19
"action","suit",4
"action","will",15
"actions","need",3
"actions","speak",12
"actions","will",13
"active","community",7
"active","duty",17
"active","member",7
"active","participation",4
"active","service",5
"actively","looking",8
"actively","seeking",5
"actively","trying",4
"activities","around",4
"activities","can",7
"activities","go",3
"activities","help",4
"activities","new",3
"activity","also",3
"activity","day",6
"activity","level",5
"actor","comedy",4
"actor","played",5
"actor","plays",4
"actors","actresses",7
"actors","like",9
"actors","will",6
"acts","kindness",6
"acts","like",36
"acts","violence",4
"actual","birthday",5
"actual","cost",6
"actual","experience",4
"actual","game",4
"actual","product",3
"actual","words",4
"actually","able",11
"actually","allowed",7
"actually","almost",4
"actually","always",4
"actually","become",4
"actually","better",14
"actually","came",11
"actually","can",10
"actually","carry",3
"actually","creating",3
"actually","easy",3
"actually","employed",3
"actually","end",9
"actually","ends",4
"actually","enjoy",9
"actually","enough",4
"actually","even",7
"actually","fairly",4
"actually","favorite",5
"actually","feels",4
"actually","first",11
"actually","fun",9
"actually","get",41
"actually","gets",3
"actually","give",7
"actually","go",23
"actually","goes",3
"actually","going",29
"actually","good",33
"actually","got",31
"actually","happen",10
"actually","happened",10
"actually","happening",6
"actually","happens",3
"actually","happy",4
"actually","head",3
"actually","hear",8
"actually","hit",5
"actually","hold",4
"actually","interested",5
"actually","just",38
"actually","know",32
"actually","less",7
"actually","like",39
"actually","live",7
"actually","living",5
"actually","long",4
"actually","looked",4
"actually","looks",12
"actually","lost",4
"actually","lot",12
"actually","made",43
"actually","make",36
"actually","makes",10
"actually","making",12
"actually","may",3
"actually","mean",8
"actually","means",10
"actually","met",5
"actually","might",5
"actually","much",10
"actually","need",19
"actually","new",3
"actually","nice",8
"actually","one",25
"actually","part",4
"actually","pay",6
"actually","people",3
"actually","play",5
"actually","played",8
"actually","pretty",38
"actually","produce",3
"actually","put",10
"actually","quite",22
"actually","reach",4
"actually","read",24
"actually","really",43
"actually","remember",11
"actually","said",21
"actually","sat",5
"actually","saw",13
"actually","say",5
"actually","second",6
"actually","see",21
"actually","seeing",4
"actually","seen",7
"actually","set",3
"actually","something",11
"actually","sounds",5
"actually","start",9
"actually","started",12
"actually","starting",7
"actually","starts",5
"actually","still",14
"actually","take",13
"actually","takes",7
"actually","taking",4
"actually","talking",6
"actually","think",32
"actually","thinking",8
"actually","thought",20
"actually","three",6
"actually","time",3
"actually","took",14
"actually","true",9
"actually","use",22
"actually","uses",3
"actually","using",9
"actually","want",34
"actually","wanted",11
"actually","wear",3
"actually","went",16
"actually","will",8
"actually","won",9
"actually","work",20
"actually","working",11
"actually","works",7
"actually","worth",4
"ad","agencies",4
"ad","agency",13
"ad","campaign",16
"ad","can",3
"ad","network",4
"adam","eve",9
"adam","jones",12
"adam","lambert",5
"adam","sandler",17
"adam","yauch",25
"adapt","new",7
"add","always",3
"add","another",37
"add","bacon",4
"add","beer",3
"add","cinnamon",7
"add","couple",12
"add","extra",12
"add","food",6
"add","fresh",7
"add","high",5
"add","insult",4
"add","just",8
"add","last",3
"add","least",8
"add","list",30
"add","little",38
"add","lots",3
"add","many",4
"add","may",3
"add","mix",4
"add","much",16
"add","name",9
"add","new",34
"add","oil",9
"add","olive",9
"add","one",20
"add","onion",16
"add","onions",16
"add","people",10
"add","remove",5
"add","rum",3
"add","sauce",4
"add","something",8
"add","sugar",23
"add","sweet",3
"add","things",5
"add","two",8
"add","value",19
"add","water",27
"add","will",6
"add","years",3
"add","yet",4
"addams","family",8
"added","another",20
"added","bill",3
"added","bonus",19
"added","extra",8
"added","great",4
"added","green",4
"added","incentive",3
"added","jobs",18
"added","last",6
"added","list",6
"added","much",4
"added","new",20
"added","now",4
"added","second",3
"added","stress",3
"added","sugar",7
"added","three",10
"added","time",6
"added","title",3
"addiction","homelessness",3
"adding","another",6
"adding","new",23
"adding","one",8
"adding","two",5
"adding","water",4
"addition","family",10
"additional","details",11
"additional","income",4
"additional","information",31
"additional","ones",4
"additional","services",3
"address","bar",3
"address","book",6
"address","can",19
"address","contact",4
"address","health",3
"address","issue",13
"address","issues",9
"address","listed",4
"address","nation",6
"address","need",5
"address","one",7
"address","please",7
"address","problem",13
"address","want",3
"address","weekend",3
"address","will",19
"addresses","can",3
"adds","another",10
"adds","extra",7
"adequate","funding",3
"adjust","will",3
"adjusted","inflation",10
"administration","will",16
"admission","free",24
"admission","museum",5
"admission","ticket",4
"admission","tickets",7
"admissions","office",4
"admit","got",5
"admit","one",4
"admit","something",6
"admit","still",6
"admit","used",3
"admit","women",3
"admit","wrong",8
"adobe","acrobat",4
"adolf","hitler",13
"adopted","children",8
"adopted","daughter",3
"adoption","agency",6
"adoption","process",6
"adrenaline","rush",9
"adrian","peterson",9
"ads","like",5
"ads","make",3
"ads","see",3
"ads","will",5
"adult","beverage",6
"adult","beverages",6
"adult","child",6
"adult","children",12
"adult","diapers",7
"adult","entertainment",6
"adult","film",5
"adult","life",17
"adult","male",4
"adult","novel",6
"adult","store",3
"adult","version",3
"adults","can",10
"adults","children",24
"adults","get",4
"adults","just",5
"adults","kids",5
"adults","need",4
"adults","never",3
"advance","can",3
"advance","next",4
"advance","notice",4
"advance","tickets",6
"advance","will",4
"advanced","technology",7
"advantage","can",4
"advantage","get",5
"advantage","great",7
"advantage","opportunity",10
"advantage","using",3
"advantage","will",4
"advantages","disadvantages",3
"adventures","tintin",4
"advertise","products",3
"advertising","campaign",9
"advertising","industry",5
"advertising","new",7
"advertising","products",5
"advice","always",5
"advice","best",5
"advice","even",3
"advice","follow",4
"advice","gave",6
"advice","give",14
"advice","need",4
"advice","offer",4
"advice","others",4
"advice","really",3
"advice","take",7
"advice","will",4
"advisory","board",33
"advisory","committee",31
"advisory","panel",6
"advisory","service",4
"advocacy","group",55
"advocacy","groups",12
"aerial","view",4
"aesthetically","pleasing",3
"afc","north",14
"afc","west",9
"affect","much",5
"affect","way",6
"affected","many",3
"affects","million",4
"affects","people",3
"affirmative","action",18
"afford","buy",16
"afford","food",3
"afford","go",3
"afford","lose",6
"afford","one",9
"afford","pay",14
"afford","take",4
"affordable","care",23
"affordable","health",7
"affordable","housing",38
"affordable","price",7
"affordable","prices",4
"affordable","senior",3
"affordable","way",4
"afghan","president",10
"afraid","admit",6
"afraid","ask",5
"afraid","call",3
"afraid","get",15
"afraid","go",5
"afraid","going",5
"afraid","make",4
"afraid","might",10
"afraid","people",6
"afraid","say",13
"afraid","take",8
"afraid","tell",9
"afraid","will",19
"africa","australia",3
"africa","will",4
"african","american",72
"african","americans",30
"african","countries",4
"african","descent",4
"afternoon","around",4
"afternoon","break",3
"afternoon","evening",19
"afternoon","get",7
"afternoon","give",4
"afternoon","go",5
"afternoon","just",7
"afternoon","late",5
"afternoon","looks",3
"afternoon","new",6
"afternoon","one",4
"afternoon","playing",3
"afternoon","really",4
"afternoon","saw",6
"afternoon","school",4
"afternoon","see",4
"afternoon","session",5
"afternoon","snack",10
"afternoon","sun",6
"afternoon","tea",16
"afternoon","thought",3
"afternoon","tomorrow",4
"afternoon","took",6
"afternoon","trying",4
"afternoon","will",8
"afterschool","program",4
"afterschool","programs",9
"agatha","christie",4
"age","also",8
"age","appropriate",8
"age","average",4
"age","can",20
"age","difference",6
"age","digital",4
"age","especially",3
"age","facebook",3
"age","father",5
"age","first",5
"age","get",5
"age","group",32
"age","groups",17
"age","kids",5
"age","know",6
"age","live",5
"age","made",4
"age","may",5
"age","maybe",4
"age","new",4
"age","now",7
"age","older",17
"age","people",4
"age","start",4
"age","time",6
"age","way",4
"age","will",19
"age","years",12
"aged","months",3
"agencies","will",10
"agency","got",3
"agency","says",8
"agency","see",3
"agency","sent",3
"agency","take",3
"agency","will",21
"agent","change",3
"agent","good",4
"agent","just",4
"agent","orange",5
"agent","said",7
"agents","new",5
"ages","ago",14
"ages","can",5
"ages","now",6
"ages","take",4
"ages","will",3
"ago","almost",4
"ago","another",4
"ago","back",8
"ago","big",5
"ago","came",6
"ago","can",12
"ago","covered",3
"ago","decided",9
"ago","early",3
"ago","everyone",4
"ago","felt",4
"ago","finally",8
"ago","first",16
"ago","found",7
"ago","get",4
"ago","got",13
"ago","great",6
"ago","hear",3
"ago","hope",5
"ago","idea",8
"ago","instead",4
"ago","just",25
"ago","kids",3
"ago","knew",6
"ago","know",11
"ago","last",11
"ago","looked",6
"ago","looking",7
"ago","lost",6
"ago","make",5
"ago","maybe",7
"ago","men",6
"ago","mentioned",4
"ago","might",5
"ago","miss",4
"ago","much",6
"ago","name",3
"ago","need",5
