"w1","w2","w3","rank"
"able","get","back",8
"able","go","back",6
"academy","motion","picture",5
"accept","credit","cards",8
"according","new","research",4
"according","new","study",6
"according","pew","research",6
"across","north","america",7
"across","social","media",5
"actually","get","started",3
"actually","looks","like",6
"add","insult","injury",3
"administrator","lisa","jackson",4
"adult","stem","cells",6
"affordable","care","act",33
"afghans","will","fully",3
"african","american","history",5
"african","american","woman",3
"age","race","gender",4
"ago","fell","love",3
"ago","never","looked",4
"ago","will","get",3
"aint","got","nothing",9
"aint","talkin","bout",6
"air","conditioning","unit",5
"air","force","base",23
"alexander","graham","bell",4
"almost","every","day",22
"almost","every","night",8
"almost","five","years",7
"almost","good","true",4
"almost","looks","like",4
"almost","never","happens",4
"almost","seems","like",3
"almost","three","years",10
"almost","two","weeks",3
"almost","two","years",13
"almost","upon","us",5
"almost","years","ago",14
"almost","years","old",6
"along","east","coast",5
"along","just","fine",6
"already","know","going",3
"already","know","will",7
"already","looking","forward",11
"already","taken","care",4
"also","big","fan",3
"also","can","use",3
"also","felt","like",4
"also","first","time",6
"also","good","idea",3
"also","like","thank",4
"also","look","like",3
"also","looking","forward",8
"also","looks","like",4
"also","make","sure",7
"also","want","thank",3
"always","always","will",15
"always","back","mind",4
"always","comes","back",5
"always","feel","free",3
"always","felt","like",6
"always","good","idea",11
"always","happy","get",4
"always","happy","see",5
"always","looking","new",10
"always","makes","feel",6
"always","one","biggest",3
"always","one","favorite",5
"always","room","improvement",3
"always","soft","spot",6
"always","special","place",6
"always","thought","good",4
"always","wanted","go",19
"always","wanted","play",5
"amazing","can","get",4
"america","land","free",3
"american","airlines","flight",5
"american","cancer","society",21
"american","civil","war",5
"american","music","awards",4
"american","red","cross",20
"americas","next","top",5
"among","likely","voters",3
"amount","money","can",6
"amount","work","done",4
"angry","birds","space",7
"anna","nicole","smith",4
"announced","months","ago",3
"another","day","another",19
"another","day","go",3
"another","day","life",7
"another","day","without",5
"another","thing","like",3
"another","two","weeks",3
"another","week","two",4
"answering","questions","like",3
"anyone","else","go",3
"anyone","else","hurt",3
"anyone","else","wants",4
"anyone","interested","joining",3
"anyone","knows","anything",3
"anything","can","happen",15
"anything","can","help",10
"anything","can","think",5
"anything","else","will",5
"anything","even","remotely",3
"anything","ever","seen",4
"anything","looks","like",4
"anything","right","now",13
"anywhere","else","world",3
"apple","ceo","tim",5
"apple","fall","far",6
"april","fools","day",35
"arent","many","things",3
"arizona","new","mexico",7
"army","air","corps",3
"around","every","corner",5
"around","long","enough",8
"around","long","time",5
"around","time","started",4
"around","world","just",4
"around","world","will",8
"arrested","driving","intoxicated",5
"art","imitating","life",4
"art","new","york",9
"arthur","conan","doyle",4
"article","first","published",3
"arundel","mills","mall",4
"ask","many","questions",5
"ask","one","thing",5
"asked","last","week",4
"asked","needed","help",3
"attack","pearl","harbor",6
"attention","deficit","disorder",11
"august","last","year",3
"august","th","pm",5
"august","th","will",3
"auld","lang","syne",6
"austin","city","limits",7
"australia","new","zealand",13
"author","new","book",6
"autism","awareness","month",4
"available","upon","request",4
"award","best","actor",3
"away","anytime","soon",3
"away","every","time",4
"away","new","york",6
"away","right","now",4
"back","back","back",6
"back","bay","area",5
"back","drawing","board",14
"back","early","s",8
"back","ever","since",3
"back","feel","good",3
"back","forth","time",4
"back","high","school",20
"back","home","just",3
"back","home","new",3
"back","hotel","room",4
"back","middle","school",5
"back","new","jersey",6
"back","new","orleans",5
"back","new","york",15
"back","next","couple",3
"back","next","month",5
"back","next","week",22
"back","normal","now",3
"back","one","day",8
"back","online","soon",4
"back","real","world",8
"back","square","one",10
"back","swing","things",14
"back","th","century",5
"back","together","one",4
"back","will","help",3
"back","work","monday",6
"bad","news","good",5
"bad","right","now",13
"bad","thing","said",4
"bad","things","happen",11
"bagel","cream","cheese",3
"balanced","budget","amendment",5
"banana","cream","pie",7
"banging","head","wall",6
"baseball","hall","fame",6
"basic","human","rights",5
"beautiful","fall","day",8
"beautiful","thing","ever",3
"become","better","person",3
"become","much","less",3
"become","one","favorite",3
"bed","bath","beyond",20
"beer","tastes","good",3
"beginning","new","year",6
"behind","closed","doors",25
"ben","jerrys","ice",7
"best","ever","seen",6
"best","exotic","marigold",3
"best","feeling","world",6
"best","foot","forward",7
"best","friend","will",5
"best","gift","ever",7
"best","high","school",6
"best","interest","heart",3
"best","interests","people",4
"best","kept","secret",5
"best","management","practices",3
"best","meets","needs",3
"best","original","score",5
"best","place","find",5
"best","supporting","actress",9
"best","thing","can",9
"best","thing","done",4
"best","thing","ever",51
"best","things","can",3
"best","things","life",12
"best","way","can",5
"best","way","get",19
"best","way","go",6
"better","anyone","else",7
"better","business","bureau",16
"better","chance","winning",5
"better","even","though",5
"better","every","week",6
"better","every","year",5
"better","homes","gardens",11
"better","last","week",3
"better","late","never",26
"better","luck","next",11
"better","next","year",7
"better","safe","sorry",5
"better","time","present",3
"big","bang","theory",39
"big","blue","nation",3
"big","deal","just",5
"big","enough","hold",5
"big","fat","greek",4
"big","go","home",4
"big","happy","family",5
"bigger","better","things",11
"bill","next","week",3
"billy","bob","thornton",3
"bin","laden","dead",13
