"w1","prediction","rank"
"a","a",85
"a","about",37
"a","addict",4
"a","air",4
"a","all",15
"a","am",23
"a","an",8
"a","and",122
"a","another",6
"a","as",10
"a","at",17
"a","b",90
"a","ba",17
"a","baby",313
"a","babysitter",9
"a","bachelor",10
"a","bachelors",31
"a","back",72
"a","background",32
"a","backing",5
"a","backpack",11
"a","backseat",5
"a","backup",44
"a","backyard",9
"a","bacon",13
"a","bad",750
"a","badass",30
"a","badge",12
"a","bag",129
"a","bagel",16
"a","bail",10
"a","bake",5
"a","baked",10
"a","baker",9
"a","bakery",16
"a","balance",32
"a","balanced",47
"a","balancing",6
"a","balcony",5
"a","bald",9
"a","ball",146
"a","ballet",8
"a","ballgame",4
"a","balloon",14
"a","balmy",7
"a","baltimore",23
"a","ban",43
"a","banana",36
"a","band",145
"a","bandaid",9
"a","bandwagon",4
"a","bang",20
"a","bangup",3
"a","bank",79
"a","banker",5
"a","banking",8
"a","bankruptcy",18
"a","banner",20
"a","banquet",8
"a","bar",147
"a","barbecue",10
"a","bare",11
"a","bargain",37
"a","barista",9
"a","barn",9
"a","barnes",5
"a","barrel",39
"a","barren",5
"a","bartender",14
"a","base",72
"a","baseball",82
"a","basement",17
"a","basic",62
"a","basis",9
"a","basket",40
"a","basketball",51
"a","bastard",4
"a","bat",31
"a","batch",26
"a","bath",49
"a","bathroom",35
"a","bathtub",8
"a","batter",11
"a","battered",5
"a","battery",16
"a","battle",64
"a","battlefield",7
"a","bay",12
"a","bb",8
"a","bbc",8
"a","bbq",17
"a","beach",48
"a","beacon",11
"a","bead",7
"a","beanie",5
"a","bear",49
"a","beard",22
"a","bears",9
"a","beast",72
"a","beat",48
"a","beating",11
"a","beautiful",666
"a","beautifully",15
"a","beauty",26
"a","because",16
"a","bed",66
"a","bedroom",18
"a","bee",16
"a","beeline",4
"a","beer",213
"a","before",10
"a","beginner",18
"a","beginners",4
"a","beginning",13
"a","being",11
"a","belated",8
"a","belief",21
"a","believer",30
"a","bell",12
"a","belt",16
"a","bench",29
"a","bend",5
"a","benefit",28
"a","bent",4
"a","best",51
"a","bestseller",7
"a","bet",21
"a","beta",11
"a","better",760
"a","betting",6
"a","beverage",6
"a","biased",5
"a","bible",16
"a","biblical",7
"a","bicycle",28
"a","bid",48
"a","big",1875
"a","bigger",159
"a","bike",100
"a","bikini",15
"a","bill",179
"a","billboard",7
"a","billion",113
"a","billionaire",11
"a","bin",5
"a","bind",7
"a","binder",12
"a","bio",8
"a","biography",10
"a","biological",8
"a","biology",4
"a","bipartisan",24
"a","bird",78
"a","birth",15
"a","birthday",126
"a","biscuit",8
"a","bit",2285
"a","bite",60
"a","bitter",31
"a","bittersweet",10
"a","bizarre",23
"a","black",290
"a","blackberry",22
"a","blackboard",4
"a","blackout",6
"a","bladder",5
"a","blah",5
"a","blank",23
"a","blanket",41
"a","blast",296
"a","blatant",7
"a","blend",30
"a","blender",23
"a","blessed",81
"a","blessing",105
"a","blind",54
"a","blink",5
"a","blip",8
"a","blizzard",13
"a","bloated",5
"a","block",79
"a","blocked",10
"a","blocker",3
"a","blog",212
"a","blogger",37
"a","blond",11
"a","blonde",17
"a","blood",38
"a","bloody",35
"a","blow",23
"a","blue",86
"a","blueberry",7
"a","blueprint",11
"a","blues",11
"a","blur",21
"a","blurry",4
"a","board",63
"a","boat",76
"a","boating",3
"a","boatload",5
"a","bobblehead",5
"a","body",67
"a","bohemian",6
"a","bold",27
"a","bolt",7
"a","bomb",51
"a","bond",49
"a","bone",26
"a","bonfire",18
"a","bonus",65
"a","book",562
"a","bookcase",3
"a","bookstore",12
"a","boom",7
"a","boon",11
"a","boost",42
"a","boot",8
"a","booth",20
"a","border",25
"a","borderline",4
"a","boring",33
"a","born",4
"a","boss",78
"a","boston",18
"a","bottle",182
"a","bottom",5
"a","bounce",7
"a","bouncing",5
"a","bountiful",3
"a","bounty",14
"a","bouquet",12
"a","bourbon",8
"a","bout",11
"a","bow",34
"a","bowl",149
"a","bowling",11
"a","box",148
"a","boxer",5
"a","boy",196
"a","boycott",9
"a","boyfriend",65
"a","boys",21
"a","bra",17
"a","brace",7
"a","bracelet",10
"a","brain",49
"a","branch",24
"a","brand",142
"a","brandnew",8
"a","brass",8
"a","brave",15
"a","brazilian",11
"a","bread",8
"a","break",299
"a","breakdown",20
"a","breakfast",31
"a","breaking",9
"a","breakout",19
"a","breakthrough",11
"a","breakup",11
"a","breast",8
"a","breath",38
"a","breather",9
"a","breathtaking",7
"a","breed",5
"a","breeding",8
"a","breeze",20
"a","brewery",14
"a","bribe",14
"a","brick",33
"a","bridal",10
"a","bride",9
"a","bridge",87
"a","brief",166
"a","briefing",10
"a","bright",77
"a","brighter",12
"a","brilliant",64
"a","brisk",13
"a","british",64
"a","broad",48
"a","broadband",3
"a","broadcast",5
"a","broader",39
"a","broadway",20
"a","broken",108
"a","bronze",19
"a","brooklyn",8
"a","brother",35
"a","brown",34
"a","brownie",9
"a","browns",8
"a","bruins",3
"a","bruise",10
"a","brunch",5
"a","brunette",10
"a","brush",13
"a","brutal",27
"a","bs",7
"a","bubble",13
"a","buck",15
"a","bucket",52
"a","bud",9
"a","buddhist",11
"a","buddy",26
"a","budget",92
"a","budweiser",4
"a","buffalo",12
"a","buffet",16
"a","bug",50
"a","builder",6
"a","building",88
"a","buildings",4
"a","built",6
"a","builtin",11
"a","bull",19
"a","bullet",33
"a","bully",21
"a","bullying",4
"a","bum",15
"a","bump",15
"a","bumper",9
"a","bumpy",7
"a","bunch",496
"a","bundle",20
"a","bunker",3
"a","bunny",11
"a","burden",21
"a","burger",40
"a","burgundy",3
