"w1","prediction","rank"
"a","a",52
"a","about",15
"a","acre",28
"a","all",11
"a","am",15
"a","an",3
"a","and",96
"a","as",15
"a","at",19
"a","awesome",13
"a","b",50
"a","baby",187
"a","babys",4
"a","bachelor",14
"a","bachelors",33
"a","back",54
"a","backdrop",18
"a","background",26
"a","backlash",12
"a","backup",30
"a","bacon",9
"a","bad",489
"a","badge",13
"a","badly",8
"a","bag",91
"a","bagel",9
"a","baguette",5
"a","baked",9
"a","bakery",10
"a","balance",25
"a","balanced",33
"a","balcony",5
"a","bald",8
"a","balk",4
"a","ball",114
"a","ballad",3
"a","ballet",7
"a","balloon",12
"a","ballpark",6
"a","ballroom",4
"a","baltimore",12
"a","ban",24
"a","banana",23
"a","band",80
"a","bandaid",9
"a","bang",22
"a","bank",55
"a","banker",5
"a","banner",13
"a","banquet",7
"a","bar",108
"a","barbecue",6
"a","barbie",8
"a","bargain",28
"a","barn",13
"a","barrel",27
"a","bartender",12
"a","base",50
"a","baseball",73
"a","basement",9
"a","basic",39
"a","basket",23
"a","basketball",43
"a","bat",22
"a","batch",19
"a","bathroom",33
"a","batman",5
"a","batter",10
"a","battery",9
"a","battle",32
"a","bay",12
"a","bb",4
"a","beach",41
"a","beacon",10
"a","bear",32
"a","beast",46
"a","beat",31
"a","beautiful",445
"a","beautifully",15
"a","beauty",22
"a","bed",60
"a","bedroom",16
"a","bee",11
"a","beef",5
"a","beer",169
"a","before",10
"a","beginning",19
"a","behindthescenes",5
"a","being",6
"a","belief",21
"a","believer",12
"a","bell",9
"a","beloved",9
"a","belt",7
"a","bench",11
"a","benefit",22
"a","best",36
"a","bet",24
"a","better",576
"a","beverage",8
"a","bible",12
"a","biblical",3
"a","bicycle",23
"a","bid",28
"a","big",1232
"a","bigger",111
"a","bike",59
"a","bill",108
"a","billion",83
"a","billionaire",8
"a","bind",4
"a","bird",54
"a","birdie",6
"a","birth",9
"a","birthday",69
"a","bit",1573
"a","bite",49
"a","bitter",13
"a","bittersweet",9
"a","bizarre",10
"a","black",186
"a","blackberry",10
"a","blank",21
"a","blanket",44
"a","blast",222
"a","blazer",6
"a","blazing",5
"a","blend",18
"a","blended",5
"a","blender",30
"a","blessing",59
"a","blind",36
"a","blizzard",13
"a","block",45
"a","blocked",6
"a","blog",138
"a","blogger",15
"a","blood",17
"a","bloody",24
"a","blow",18
"a","blowout",10
"a","blowtorch",3
"a","blue",53
"a","blueberry",5
"a","blueprint",11
"a","blur",13
"a","bluray",5
"a","blurb",5
"a","board",42
"a","boat",50
"a","bob",7
"a","body",44
"a","bold",22
"a","bomb",34
"a","bond",26
"a","bone",22
"a","bonfire",5
"a","bonus",42
"a","book",409
"a","bookkeeper",4
"a","books",3
"a","bookstore",4
"a","boom",5
"a","boon",15
"a","boost",31
"a","booster",8
"a","boot",10
"a","booth",20
"a","border",8
"a","boring",25
"a","born",5
"a","boss",31
"a","botanical",4
"a","bottle",147
"a","bottom",9
"a","boundary",4
"a","bounty",14
"a","bouquet",9
"a","bow",25
"a","bowl",120
"a","box",120
"a","boxing",4
"a","boy",151
"a","boyfriend",36
"a","boys",9
"a","bra",7
"a","brain",35
"a","branch",16
"a","brand",80
"a","brandnew",6
"a","brass",6
"a","brat",7
"a","brave",14
"a","brazilian",6
"a","bread",9
"a","break",225
"a","breakdown",9
"a","breakfast",27
"a","breaking",7
"a","breakout",9
"a","breakthrough",13
"a","breakup",6
"a","breath",15
"a","breather",6
"a","breeding",3
"a","breeze",20
"a","brew",8
"a","brewers",11
"a","brewery",14
"a","bribe",9
"a","brick",21
"a","bridal",7
"a","bride",8
"a","bridge",53
"a","brief",125
"a","bright",67
"a","brilliant",49
"a","brisk",9
"a","british",54
"a","britney",4
"a","broad",33
"a","broader",26
"a","brochure",3
"a","broken",93
"a","broker",7
"a","bronze",8
"a","brooklyn",9
"a","broom",6
"a","brother",37
"a","brown",32
"a","bruins",3
"a","bruised",6
"a","brunch",5
"a","brutal",22
"a","bubble",16
"a","bucket",35
"a","bud",8
"a","buddhist",4
"a","budget",60
"a","buffalo",8
"a","buffet",8
"a","bug",15
"a","building",57
"a","bull",10
"a","bullet",28
"a","bully",14
"a","bum",13
"a","bummer",18
"a","bumper",4
"a","bun",7
"a","bunch",328
"a","bundle",13
"a","bunny",8
"a","burden",13
"a","burger",30
"a","burn",3
"a","burning",6
"a","burrito",14
"a","burst",8
"a","bus",75
"a","bush",4
"a","bushel",6
"a","business",148
"a","bust",14
"a","busy",102
"a","but",25
"a","butter",6
"a","butterfly",25
"a","button",29
"a","buyer",22
"a","buyout",5
"a","buzz",9
"a","by",7
"a","c",36
"a","cab",25
"a","cabin",11
"a","cabinet",11
"a","cable",8
"a","cafe",17
"a","cage",12
"a","cake",51
"a","calculated",7
"a","calendar",17
"a","california",30
"a","call",211
"a","calling",8
"a","calming",9
"a","camel",6
"a","cameo",18
"a","camera",53
"a","camp",20
"a","campaign",66
"a","camper",3
"a","camping",8
"a","campus",10
"a","can",55
"a","canadian",26
"a","cancer",16
"a","candidate",55
"a","candle",25
"a","candy",13
"a","cane",7
"a","cannon",10
"a","canon",7
"a","canvas",7
"a","cap",11
"a","cape",8
"a","capital",16
"a","captain",11
"a","caption",5
"a","car",341
"a","card",120
"a","cardboard",12
"a","cardiac",6
"a","cardigan",5
"a","cardinal",8
"a","cardiologist",5
"a","career",87
"a","careful",8
"a","caregiver",5
"a","caricature",4
"a","carnival",10
"a","carpenter",6
"a","carrier",5
"a","carrot",6
"a","cart",9
"a","cartoon",13
"a","case",143
"a","cash",23
"a","casino",28
"a","cast",25
"a","castle",9
"a","casual",16
"a","cat",84
"a","catalog",4
"a","catalyst",4
"a","catch",15
"a","catcher",11
"a","catchup",3
"a","catering",5
"a","cathedral",4
"a","catholic",28
"a","cats",7
"a","cause",41
"a","cave",14
"a","cd",31
"a","celebration",28
"a","celebratory",6
"a","celebrity",26
"a","cell",46
"a","cellphone",12
"a","cement",4
"a","cemetery",4
"a","cent",17
"a","center",22
"a","central",33
"a","century",43
"a","ceo",7
"a","ceremony",16
"a","certain",240
"a","certainty",9
"a","certificate",11
"a","certified",34
"a","chain",32
"a","chainsaw",6
"a","chair",42
"a","challenge",110
"a","challenging",15
"a","chamber",4
"a","champ",18
"a","champagne",8
"a","champion",27
"a","champions",4
"a","championship",35
"a","chance",691
"a","change",152
"a","changing",8
"a","channel",11
"a","chant",3
"a","chapter",19
"a","character",63
"a","charge",33
"a","charity",22
"a","charlie",5
"a","charm",16
"a","charming",19
"a","chart",6
"a","chase",5
"a","chat",30
"a","cheap",40
"a","cheaper",7
"a","check",51
"a","cheeky",4
"a","cheese",14
"a","cheeseburger",7
"a","chef",22
"a","chemical",12
"a","chemistry",6
"a","cherry",10
"a","chest",10
"a","chicago",24
"a","chicken",41
"a","child",304
"a","childhood",15
"a","childrens",30
"a","childs",28
"a","chili",5
"a","chilly",6
"a","china",7
"a","chinese",33
"a","chip",11
"a","chocolate",44
"a","choice",86
"a","choke",3
"a","chore",14
"a","chorus",10
"a","christian",51
"a","christmas",72
"a","chrome",3
"a","chronic",11
"a","chuckle",9
"a","church",63
"a","cia",5
"a","cigar",14
"a","cigarette",30
"a","circle",27
"a","circus",9
"a","citizen",11
"a","citrus",7
"a","city",166
"a","civil",41
"a","claim",15
"a","clash",9
"a","class",124
"a","classic",88
"a","classical",7
"a","classmate",6
"a","classroom",15
"a","clause",9
"a","clay",4
"a","clean",64
"a","cleaning",7
"a","clear",107
"a","clearance",3
"a","clearer",10
"a","cleaver",5
"a","clever",17
"a","client",61
"a","cliff",24
"a","clinic",7
"a","clinical",12
"a","clip",19
"a","clock",10
"a","close",95
"a","closed",19
