"w1","w2","w3","prediction","rank"
"a","baby","on","the",3
"a","bachelor","of","science",5
"a","back","seat","to",5
"a","bad","habit","of",3
"a","bad","idea","to",4
"a","bag","of","skittles",5
"a","ball","out","of",4
"a","band","called","the",4
"a","beer","or","two",4
"a","better","chance","of",10
"a","better","idea","of",6
"a","better","place","to",6
"a","better","sense","of",7
"a","better","understanding","of",10
"a","better","way","to",13
"a","big","bowl","of",7
"a","big","deal","about",5
"a","big","deal","for",6
"a","big","deal","out",5
"a","big","difference","between",8
"a","big","difference","in",4
"a","big","fan","of",44
"a","big","part","of",30
"a","big","smile","on",5
"a","birthday","party","for",3
"a","bit","because","of",3
"a","bit","harder","to",3
"a","bit","more","than",5
"a","bit","of","a",136
"a","bit","of","an",17
"a","bit","of","the",15
"a","bit","out","of",16
"a","bit","so","i",5
"a","bit","to","get",5
"a","bit","too","much",9
"a","bite","out","of",3
"a","bite","to","eat",11
"a","blind","eye","to",7
"a","book","about","the",5
"a","book","it","is",4
"a","bottle","of","the",3
"a","bottle","of","wine",17
"a","break","in","the",3
"a","breakdown","of","the",3
"a","breath","of","fresh",6
"a","brown","paper","bag",4
"a","bucket","of","water",5
"a","budget","for","the",3
"a","bunch","in","the",3
"a","bunch","of","people",12
"a","bunch","of","stuff",4
"a","call","from","my",3
"a","call","from","the",6
"a","car","at","the",4
"a","car","so","i",3
"a","card","for","her",3
"a","career","as","a",6
"a","case","of","the",13
"a","certain","amount","of",21
"a","certain","kind","of",6
"a","chance","at","a",6
"a","chance","i","will",5
"a","chance","of","a",4
"a","chance","to","be",9
"a","chance","to","become",3
"a","chance","to","catch",6
"a","chance","to","get",20
"a","chance","to","go",9
"a","chance","to","hear",5
"a","chance","to","make",7
"a","chance","to","meet",11
"a","chance","to","play",9
"a","chance","to","say",7
"a","chance","to","see",17
"a","chance","to","show",5
"a","chance","to","visit",4
"a","chance","to","win",74
"a","child","is","born",3
"a","close","eye","on",6
"a","company","that","has",3
"a","company","that","is",4
"a","concert","at","the",4
"a","constant","state","of",4
"a","copy","of","it",7
"a","copy","of","the",49
"a","corner","of","the",6
"a","couple","months","ago",6
"a","couple","of","days",48
"a","couple","of","great",3
"a","couple","of","hours",30
"a","couple","of","minutes",17
"a","couple","of","months",31
"a","couple","of","more",5
"a","couple","of","my",8
"a","couple","of","new",6
"a","couple","of","other",10
