"w1","w2","prediction","rank"
"a","and","a",15
"a","and","b",3
"a","at","the",9
"a","baby","and",10
"a","baby","girl",4
"a","baby","i",3
"a","baby","in",9
"a","baby","on",7
"a","baby","shower",6
"a","baby","you",3
"a","bachelor","of",8
"a","bachelors","degree",29
"a","back","seat",8
"a","back","to",4
"a","backdrop","of",10
"a","bad","day",32
"a","bad","dream",7
"a","bad","girl",5
"a","bad","guy",5
"a","bad","habit",6
"a","bad","idea",30
"a","bad","investment",3
"a","bad","mood",21
"a","bad","name",4
"a","bad","person",11
"a","bad","rap",6
"a","bad","review",6
"a","bad","situation",9
"a","bad","thing",47
"a","bad","way",12
"a","badge","of",5
"a","bag","and",3
"a","bag","for",3
"a","bag","of",48
"a","bakery","in",3
"a","balance","between",7
"a","balance","in",4
"a","balanced","view",3
"a","ball","at",7
"a","ball","in",3
"a","ball","out",5
"a","ban","on",14
"a","band","called",6
"a","band","from",7
"a","band","that",6
"a","bank","account",6
"a","bar","and",6
"a","bar","in",11
"a","bar","is",3
"a","bar","of",4
"a","bar","the",4
"a","bar","with",7
"a","barrel","of",4
"a","baseball","bat",15
"a","baseball","cap",5
"a","baseball","fan",5
"a","baseball","game",10
"a","basket","of",5
"a","batch","of",14
"a","bathroom","and",5
"a","beach","in",5
"a","beautiful","and",6
"a","beautiful","day",102
"a","beautiful","place",7
"a","beautiful","thing",11
"a","beautiful","woman",11
"a","beauty","of",3
"a","bed","of",14
"a","bed","to",3
"a","beer","and",18
"a","beer","or",10
"a","benefit","for",6
"a","best","friend",14
"a","bet","on",4
"a","better","chance",17
"a","better","choice",7
"a","better","day",10
"a","better","fit",5
"a","better","future",7
"a","better","idea",11
"a","better","job",26
"a","better","life",12
"a","better","man",5
"a","better","person",20
"a","better","place",38
"a","better","sense",7
"a","better","than",3
"a","better","time",9
"a","better","understanding",12
"a","better","way",18
"a","better","world",6
"a","big","bowl",9
"a","big","boy",6
"a","big","challenge",5
"a","big","change",5
"a","big","day",13
"a","big","deal",62
"a","big","difference",28
"a","big","digital",4
"a","big","enough",5
"a","big","fan",62
"a","big","heart",7
"a","big","help",5
"a","big","hit",14
"a","big","hug",8
"a","big","idea",4
"a","big","if",3
"a","big","impact",7
"a","big","kid",3
"a","big","mistake",6
"a","big","night",7
"a","big","one",13
"a","big","part",33
"a","big","pot",3
"a","big","problem",10
"a","big","push",4
"a","big","smile",11
"a","big","thing",7
"a","big","time",6
"a","big","way",18
"a","big","welcome",5
"a","big","year",7
"a","bike","ride",10
"a","bill","that",36
"a","bird","of",3
"a","birth","certificate",5
"a","birthday","party",17
"a","bit","about",17
"a","bit","and",34
"a","bit","because",5
"a","bit","before",9
"a","bit","better",11
"a","bit","but",24
"a","bit","different",17
"a","bit","differently",5
"a","bit","for",9
"a","bit","harder",4
"a","bit","if",6
"a","bit","in",11
"a","bit","less",8
"a","bit","like",29
"a","bit","more",120
"a","bit","nervous",4
"a","bit","of",394
"a","bit","off",7
"a","bit","older",4
"a","bit","on",13
"a","bit","out",16
"a","bit","so",9
"a","bit","that",3
"a","bit","this",10
"a","bit","to",25
"a","bit","too",28
"a","bit","we",4
"a","bite","of",10
"a","bite","or",5
"a","bite","out",3
"a","bite","to",12
"a","black","eye",5
"a","black","suit",3
"a","black","woman",7
"a","blanket","and",5
"a","blanket","of",7
"a","blend","of",16
"a","blessing","for",4
"a","blessing","to",14
"a","blind","eye",11
"a","block","away",8
"a","block","from",9
"a","blog","or",4
"a","blog","post",30
"a","blog","that",7
"a","blow","to",9
"a","blueprint","for",6
"a","bonus","to",4
"a","book","a",9
"a","book","about",29
"a","book","and",15
"a","book","by",10
"a","book","called",7
"a","book","deal",5
"a","book","from",8
"a","book","in",12
"a","book","it",6
"a","book","of",16
"a","book","on",23
"a","book","or",10
"a","book","signing",8
"a","book","that",25
"a","book","to",12
"a","book","you",6
"a","booster","shot",3
"a","boss","who",3
"a","bottle","and",5
"a","bottle","from",8
"a","bottle","in",4
"a","bottle","of",80
"a","bottle","or",5
"a","bouquet","of",7
"a","bowl","of",32
"a","bowl","to",4
"a","box","of",43
"a","boy","and",11
"a","boy","or",5
"a","boy","who",17
"a","boyfriend","or",4
"a","brand","new",50
"a","break","and",24
"a","break","before",4
"a","break","for",6
"a","break","from",39
"a","break","i",8
"a","break","in",9
"a","break","to",8
"a","breakdown","of",4
"a","breath","of",6
"a","bridge","and",5
"a","brief","moment",7
"a","brief","period",5
"a","brief","statement",6
"a","brief","stint",3
"a","bright","future",8
"a","brilliant","idea",8
"a","brilliant","red",3
"a","broken","arm",3
"a","broken","heart",9
"a","broken","record",7
"a","brother","and",4
"a","brown","butter",4
"a","brown","paper",4
"a","bucket","of",16
"a","budget","for",4
"a","bunch","in",4
"a","bunch","of",282
"a","bundle","of",10
"a","burden","to",4
"a","burger","king",5
"a","burst","of",8
"a","bus","to",7
"a","bushel","of",4
"a","business","is",7
"a","business","owner",3
"a","business","that",9
"a","busy","day",27
"a","busy","week",9
"a","busy","weekend",3
"a","calendar","of",4
"a","call","a",5
"a","call","at",9
"a","call","for",10
"a","call","from",34
"a","call","on",6
"a","call","to",27
"a","camera","and",7
"a","camp","for",4
"a","campaign","for",3
"a","can","of",32
"a","candidate","in",3
"a","candy","cane",4
"a","car","accident",21
"a","car","and",20
"a","car","at",7
"a","car","crash",9
"a","car","dealership",3
"a","car","in",18
"a","car","is",5
"a","car","or",10
"a","car","seat",5
"a","car","so",6
"a","car","to",6
"a","car","wash",8
"a","card","for",17
"a","card","with",8
"a","cardboard","box",4
"a","career","as",8
"a","career","in",14
"a","case","for",11
"a","case","of",56
"a","case","that",8
"a","cat","in",5
"a","cat","the",3
"a","catholic","church",5
"a","catholic","school",5
"a","cause","for",3
"a","cd","of",3
"a","cell","phone",32
"a","certain","age",14
"a","certain","amount",23
"a","certain","kind",6
"a","certain","person",3
"a","certain","point",8
"a","certain","time",4
"a","certain","way",13
"a","chair","and",4
"a","challenge","for",13
"a","challenge","it",3
"a","challenge","we",4
"a","chance","against",4
"a","chance","and",13
"a","chance","as",4
"a","chance","at",23
"a","chance","for",19
"a","chance","i",13
"a","chance","in",7
"a","chance","of",26
"a","chance","on",13
"a","chance","that",9
"a","chance","they",4
"a","chance","to",395
"a","chance","you",6
"a","change","in",42
"a","change","of",21
"a","change","that",4
"a","change","to",6
"a","chapter","on",5
"a","check","for",11
"a","chicago","suburb",3
"a","child","and",13
"a","child","but",5
"a","child","from",3
"a","child","i",10
"a","child","in",16
"a","child","is",22
"a","child","of",12
"a","child","the",5
"a","child","to",9
"a","child","when",6
"a","child","who",12
"a","child","with",16
"a","childrens","book",9
