"item","Frequency"
"a a",83
"a acre",9
"a and",67
"a another",5
"a at",7
"a baby",254
"a bachelor",10
"a bachelors",5
"a back",51
"a backdrop",9
"a backup",26
"a backyard",5
"a bacon",9
"a bad",600
"a badge",6
"a bag",107
"a baker",8
"a balance",11
"a balanced",20
"a ball",95
"a ballot",9
"a ban",16
"a band",97
"a bandit",3
"a bang",12
"a bank",42
"a bankruptcy",7
"a bar",86
"a barbecue",5
"a barrel",17
"a barrier",8
"a base",31
"a baseball",47
"a basic",46
"a basket",21
"a basketball",22
"a batch",21
"a battle",40
"a beacon",12
"a beautiful",633
"a bed",41
"a bedroom",12
"a bee",23
"a beef",7
"a beer",225
"a belief",15
"a believer",19
"a belly",16
"a belt",11
"a bench",24
"a best",38
"a better",546
"a bias",3
"a bicycle",12
"a bid",17
"a big",1322
"a bigger",94
"a bike",68
"a bill",40
"a billion",49
"a billionaire",8
"a binder",10
"a biography",11
"a bipartisan",7
"a bit",1843
"a bite",46
"a bitter",16
"a black",177
"a blade",4
"a blanket",45
"a blast",316
"a blazer",3
"a blender",28
"a blessing",89
"a blind",32
"a blister",8
"a blizzard",6
"a block",57
"a blog",213
"a blood",24
"a blowout",8
"a blue",57
"a blur",18
"a board",19
"a boat",45
"a body",38
"a boisterous",5
"a bold",20
"a bomb",33
"a bond",20
"a bonus",51
"a book",524
"a boom",6
"a boost",14
"a border",16
"a bored",3
"a boston",11
"a bottle",151
"a bounty",4
"a bow",31
"a bowl",136
"a box",147
"a boy",160
"a boycott",4
"a boyfriend",51
"a brain",32
"a brand",103
"a break",289
"a breakout",4
"a breakthrough",5
"a breeze",17
"a brick",19
"a bridge",34
"a brief",84
"a bright",58
"a brilliant",40
"a brisk",11
"a british",39
"a broad",14
"a broader",10
"a broken",72
"a brown",35
"a brutal",12
"a bubble",14
"a buddy",22
"a budget",48
"a building",36
"a bull",21
"a bullet",22
"a bully",18
"a bun",5
"a bunch",417
"a bundle",15
"a burger",29
"a burglary",5
"a burned",4
"a burner",4
"a burning",13
"a bus",60
"a business",132
"a businessman",8
"a bust",14
"a busy",165
"a buy",4
"a buzz",17
"a by",8
"a c",62
"a cab",32
"a cable",4
"a cake",53
"a calendar",12
"a california",10
"a call",208
"a caller",6
"a calling",5
"a calm",9
"a cameo",13
"a camera",42
"a camp",9
"a campaign",25
"a campfire",8
"a canadian",16
"a cancer",16
"a candidate",25
"a candidates",4
"a cape",9
"a cappella",6
"a car",269
"a card",155
"a cardboard",9
"a career",74
"a case",102
"a cash",15
"a casino",9
"a casserole",7
"a casual",22
"a catastrophe",4
"a catch",15
"a category",10
"a catholic",26
"a cause",40
"a cd",33
"a celebration",27
"a celebrity",38
"a cell",41
"a cent",14
"a central",15
"a century",30
"a ceo",8
"a ceremony",6
"a certain",214
"a chain",32
"a chair",46
"a challenge",111
"a champ",15
"a champagne",7
"a champion",20
"a championship",25
"a chance",661
"a change",117
"a changed",6
"a channel",14
"a chaotic",9
"a chapter",13
"a character",76
"a charge",14
"a charitable",9
"a charity",23
"a chat",35
"a cheap",44
"a cheaper",10
"a check",45
"a cheery",5
"a chef",17
"a chess",5
"a chest",11
"a chic",8
"a chicago",14
"a child",319
"a chinese",19
"a chip",9
"a choice",79
"a christmas",93
"a church",50
"a cigarette",30
"a cinch",6
"a cinderella",6
"a circle",43
"a city",80
"a civic",3
"a civil",24
"a civilian",6
"a class",141
"a classic",107
"a clay",5
"a clean",65
"a cleaner",10
"a clear",88
"a clearer",10
"a client",59
"a cliff",23
"a clockwork",3
"a close",102
"a closed",16
"a closer",21
"a cloud",29
"a clown",24
"a club",39
"a cluster",8
"a coach",26
"a coal",5
"a coat",26
"a cocktail",42
"a coherent",11
"a cold",157
"a collaboration",5
"a colleague",15
"a collection",64
"a collective",18
"a college",64
"a color",34
"a colorful",10
"a column",11
"a columnist",6
"a combination",78
"a combined",13
"a combo",20
"a come",11
"a comfortable",20
"a comic",26
"a commemorative",5
"a comment",174
"a commercial",61
"a commitment",25
"a committed",8
"a committee",11
"a commodity",5
"a common",81
"a community",84
"a company",83
"a compassionate",8
