"item","Frequency"
"a better job of",10
"a big fan of",73
"a big problem for",3
"a big role in",5
"a big thing for",3
"a bit different from",3
"a bit of a",149
"a bit of my",5
"a bit on the",7
"a blessing and a",5
"a bowl full of",4
"a car accident and",3
"a chance at a",5
"a chance to get",8
"a chance to play",5
"a chance to see",23
"a chance to win",106
"a child in a",3
"a conference call in",3
"a couple of days",70
"a couple of hours",38
"a couple of months",28
"a couple of times",27
"a couple of weeks",85
"a couple of years",49
"a day in the",12
"a day or two",19
"a day trip to",6
"a day when i",3
"a deep breath and",15
"a different kind of",10
"a discussion of the",4
"a dream come true",16
"a drink at the",3
"a fair amount of",11
"a far cry from",8
"a feel for the",7
"a few beers and",3
"a few blocks from",6
"a few days after",12
"a few days ago",50
"a few doors down",4
"a few hours after",7
"a few hours later",9
"a few minutes but",6
"a few months ago",46
"a few months later",11
"a few more days",15
"a few of the",54
"a few of their",6
"a few of them",18
"a few of your",5
"a few people are",3
"a few times a",10
"a few weeks ago",87
"a few years ago",68
"a few years back",22
"a few years of",5
"a finalist for the",3
"a fraction of the",8
"a friend of his",3
"a friend or a",4
"a friend who was",4
"a gift certificate to",14
"a girl who was",4
"a glimpse of the",14
"a good balance of",3
"a good idea for",14
"a good job of",13
"a good look at",6
"a good night for",4
"a good source of",6
"a good time and",6
"a good time for",6
"a good time to",45
"a great base for",4
"a great deal of",54
"a great deal to",8
"a great experience for",4
"a great job of",15
"a great job with",10
"a great opportunity to",9
"a great place to",39
"a group of us",3
"a hard time finding",9
"a hell of a",40
"a higher level of",7
"a hole in one",4
"a hug and a",7
"a huge part of",4
"a job as a",11
"a key part of",3
"a large amount of",9
"a large number of",13
"a large portion of",12
"a large selection of",5
"a lead in the",5
"a list of the",17
"a little bit and",6
"a little bit because",4
"a little bit different",7
"a little bit longer",6
"a little bit of",132
"a little bit with",3
"a little girl who",5
"a little in the",4
"a little like a",5
"a little more than",22
"a little nervous about",8
"a long line of",10
"a long period of",7
"a long road to",4
"a long time and",13
"a long time i",27
"a long time to",21
"a long time you",4
"a long way to",23
"a look at the",46
"a lot but its",4
"a lot for a",6
"a lot going on",14
"a lot less money",3
"a lot more and",4
"a lot more than",23
"a lot of attention",5
"a lot of big",3
"a lot of buzz",3
"a lot of cars",3
"a lot of different",9
"a lot of effort",6
"a lot of friends",3
"a lot of fun",101
"a lot of good",17
"a lot of it",18
"a lot of money",38
"a lot of new",14
"a lot of other",15
"a lot of people",135
"a lot of really",6
"a lot of reasons",3
"a lot of social",3
"a lot of stuff",20
"a lot of talk",7
"a lot of the",75
"a lot of them",9
"a lot of things",52
"a lot of time",94
"a lot of ways",7
"a lot of women",5
"a lot of work",55
"a lot to do",15
"a lot to me",17
"a majority of the",10
"a man and a",13
"a man in the",4
"a man of the",3
"a man who had",4
"a man who has",6
"a matter of fact",15
"a matter of time",29
"a meeting of the",4
"a member of the",70
"a moment of your",3
"a month or so",15
"a movie about a",4
"a must for all",4
"a new level of",6
"a new set of",13
"a new way of",4
"a nice addition to",3
"a night on the",4
"a number of years",14
"a pain in the",19
"a pair of shoes",10
"a part of that",7
"a part of the",69
"a part of their",7
"a part of this",23
"a period of time",12
"a personal trainer and",3
"a picture of the",32
"a piece of art",8
"a piece of paper",11
"a place where you",13
"a portion of the",17
"a positive impact on",6
"a product of the",4
"a recipe for disaster",4
"a result of the",26
"a review of the",6
"a role model for",4
"a room at the",3
"a run for the",3
"a sample from the",3
"a scene from a",3
"a seat at the",5
"a seat on the",4
"a share of the",4
"a sign of the",8
"a sign that the",6
"a significant impact on",5
"a simple thank you",3
"a situation in which",3
"a small amount of",19
"a small bit of",4
"a small group of",11
"a special place in",11
"a spot in the",8
"a storm in the",3
"a story about a",8
"a student of the",4
"a test of the",3
"a thing or two",12
"a touch of the",5
"a tribute to the",5
"a trip to the",25
