"item","Frequency"
"a and b",9
"a and the",4
"a baby and",16
"a bad day",44
"a bad idea",47
"a bad one",8
"a bad thing",65
"a bad way",17
"a bag of",51
"a balance between",7
"a ball that",4
"a band of",6
"a baseball bat",11
"a basketball team",6
"a batch of",16
"a beacon of",10
"a beautiful place",13
"a beer or",9
"a belief that",5
"a believer in",5
"a better deal",7
"a better fit",3
"a better job",17
"a better life",15
"a better person",21
"a better place",46
"a better way",25
"a better word",10
"a big day",11
"a big difference",25
"a big fan",105
"a big hit",14
"a big mistake",4
"a big place",3
"a big problem",14
"a big production",3
"a big question",4
"a big role",6
"a big round",3
"a big screen",4
"a big step",15
"a big thing",8
"a big way",9
"a big week",3
"a bill that",5
"a bit but",25
"a bit cold",6
"a bit different",18
"a bit for",11
"a bit like",32
"a bit more",132
"a bit of",446
"a bit on",16
"a black community",3
"a black man",11
"a blessing and",6
"a blister on",4
"a block away",13
"a block of",11
"a blog on",5
"a boat trip",3
"a book of",15
"a book on",22
"a book out",4
"a book the",6
"a bottle with",4
"a bow and",4
"a bowl full",4
"a bowl game",6
"a bowl of",45
"a box of",63
"a brain tumor",5
"a brand new",77
"a break from",81
"a break on",5
"a building and",4
"a bunch of",375
"a business that",8
"a busy time",8
"a call later",3
"a call to",11
"a camera on",3
"a candidate for",5
"a car accident",19
"a car and",14
"a car for",8
"a car in",7
"a car that",7
"a car with",7
"a cardboard box",4
"a case that",4
"a cash prize",4
"a casserole dish",3
"a cell phone",24
"a certain extent",4
"a certain way",16
"a chain of",7
"a challenge in",4
"a challenge to",13
"a champion of",4
"a chance at",18
"a chance i",9
"a chance on",7
"a chance to",395
"a change in",16
"a chat with",9
"a child in",15
"a child is",11
"a child who",13
"a choice of",12
"a cinch to",3
"a circle of",4
"a city of",4
"a city that",5
"a civil rights",3
"a class action",4
"a class of",11
"a class on",10
"a class with",6
"a clear message",4
"a clear sky",3
"a client that",3
"a cloud of",7
"a cluster of",4
"a collection of",49
"a college student",8
"a combination of",66
"a comic book",10
"a comment on",38
"a commitment to",18
"a common theme",5
"a community and",3
"a company of",5
"a company that",11
"a complete and",4
"a completely different",17
"a concept that",4
"a conference call",15
"a constitutional amendment",4
"a contract for",7
"a convenience store",3
"a copy of",117
"a country that",8
"a country where",9
"a couple blocks",3
"a couple more",34
"a couple of",792
"a couple short",3
"a couple who",8
"a course of",3
"a course on",4
"a court order",4
"a credit card",17
"a crew of",6
"a crime to",5
"a crock pot",6
"a crowd of",8
"a culture of",17
"a cup of",116
"a damn thing",11
"a danger to",6
"a dangerous game",4
"a dangerous place",6
"a dash of",13
"a day for",28
"a day from",7
"a day in",30
"a day job",5
"a day late",11
"a day of",62
"a day or",39
"a day trip",11
"a day until",4
"a day when",22
"a dead end",7
"a deadline to",3
"a deal on",7
"a deal with",13
"a dear friend",14
"a decade ago",11
