"w1","prediction","rank"
"a","a",73
"a","about",5
"a","album",3
"a","all",16
"a","am",30
"a","and",89
"a","as",14
"a","at",10
"a","average",21
"a","award",4
"a","b",59
"a","ba",7
"a","baby",339
"a","babys",8
"a","babysitter",11
"a","bachelor",11
"a","back",78
"a","backdrop",23
"a","background",29
"a","backlog",10
"a","backpack",11
"a","backup",51
"a","backward",6
"a","backyard",16
"a","bacon",11
"a","bad",755
"a","badge",16
"a","badly",11
"a","bag",128
"a","bagel",12
"a","baguette",8
"a","bail",13
"a","bailout",12
"a","bake",8
"a","baker",9
"a","bakery",15
"a","balance",27
"a","balanced",46
"a","balancing",5
"a","balcony",10
"a","bald",11
"a","ball",140
"a","ballerina",5
"a","balloon",15
"a","ballot",22
"a","ballpark",6
"a","balmy",11
"a","ban",32
"a","banana",38
"a","band",116
"a","bandaid",8
"a","bang",27
"a","banjo",5
"a","bank",83
"a","banner",20
"a","banquet",10
"a","bar",153
"a","barbecue",11
"a","barebones",5
"a","barely",3
"a","bargain",30
"a","barge",9
"a","barn",14
"a","barnes",4
"a","barrage",6
"a","barrel",38
"a","barren",5
"a","barrier",12
"a","bartender",18
"a","base",56
"a","baseball",84
"a","baseline",7
"a","basement",19
"a","basic",66
"a","basil",3
"a","basis",8
"a","basket",30
"a","basketball",48
"a","bat",34
"a","batch",33
"a","bath",49
"a","bathing",7
"a","bathroom",35
"a","bathtub",7
"a","baton",3
"a","battered",5
"a","battery",19
"a","battle",77
"a","battlefield",8
"a","bb",14
"a","bcs",10
"a","be",9
"a","beach",55
"a","beacon",12
"a","bear",46
"a","beard",31
"a","bearded",11
"a","beast",84
"a","beat",46
"a","beating",17
"a","beatles",7
"a","beautiful",641
"a","beautifully",10
"a","beauty",28
"a","bed",72
"a","bedroom",18
"a","bedtime",6
"a","bee",28
"a","beef",8
"a","beer",232
"a","before",12
"a","beginner",17
"a","beginners",4
"a","beginning",20
"a","being",5
"a","belated",18
"a","belgian",16
"a","belief",15
"a","believer",26
"a","bell",15
"a","bella",3
"a","belly",16
"a","beloved",12
"a","belt",23
"a","ben",4
"a","bench",26
"a","bend",7
"a","beneficial",7
"a","benefit",36
"a","best",58
"a","bestseller",7
"a","bestselling",6
"a","bet",30
"a","better",848
"a","betting",7
