"item","Frequency"
"of the",47492
"in the",46837
"i m",26980
"it s",25918
"for the",24764
"to the",24173
"on the",22756
"don t",18473
"to be",18088
"at the",16655
"in a",13796
"and the",13787
"with the",12179
"for a",11272
"is a",11257
"and i",11214
"it was",10890
"if you",10211
"i have",10065
"will be",9744
"going to",9669
"that s",9630
"i was",9621
"from the",9604
"can t",9404
"with a",9341
"i am",9259
"have a",9110
"to get",8684
"it is",8677
"of a",8660
"is the",8541
"one of",8076
"i can",7864
"you re",7763
"as a",7475
"want to",7441
"but i",7376
"i ve",7155
"didn t",7074
"have to",7064
"i think",6970
"to do",6833
"and a",6783
"you can",6772
"by the",6769
"that i",6733
"i love",6680
"out of",6651
"thanks for",6647
"to see",6603
"the first",6546
"this is",6541
"that the",6421
"on a",6339
"to a",6310
"was a",6295
"i don",6290
"s a",6237
"all the",5948
"i ll",5658
"thank you",5608
"the same",5498
"have been",5494
"to make",5445
"need to",5388
"a lot",5386
"be a",5367
"you are",5234
"when i",5174
"a great",5161
"of my",5140
"he was",5062
"a few",5049
"would be",5041
"has been",5036
"more than",4974
"we re",4948
"to go",4945
"he s",4874
"you have",4848
"in my",4805
"the best",4772
"a little",4765
"i know",4747
"i just",4734
"a good",4730
"so i",4722
"i had",4702
"had a",4652
"he said",4647
"to have",4615
"about the",4610
"we are",4573
"as the",4409
"doesn t",4409
"into the",4243
"do you",4211
"they are",4184
"i will",4147
"the new",4093
"so much",4088
"the world",4036
"a new",3942
"there s",3933
"are you",3885
"like a",3874
"and it",3838
"we have",3835
"is not",3817
"there is",3806
"over the",3804
"trying to",3778
"on my",3743
"that is",3733
"when you",3729
"the most",3708
"u s",3708
"if i",3684
"but it",3610
"i would",3555
"lot of",3553
"part of",3545
"there are",3537
"back to",3526
"but the",3517
"was the",3460
"at least",3458
"all of",3432
"p m",3419
"you know",3404
"go to",3381
"s the",3355
"the way",3321
"i want",3316
"as well",3275
"and then",3230
"right now",3227
"at a",3223
"s not",3202
"up to",3195
"what s",3179
"time to",3156
"to me",3108
"this year",3103
"t have",3092
"for me",3079
"some of",3079
"the last",3074
"i d",3060
"way to",3051
"said the",3042
"able to",3037
"what i",3004
"the next",2996
"isn t",2977
"can be",2975
"the city",2975
"the time",2962
"they re",2956
"of his",2919
"i need",2914
"to take",2907
"to my",2901
"according to",2900
"the other",2845
"that he",2838
"that was",2812
"the day",2802
"should be",2791
"the only",2775
"is that",2768
"i could",2752
"t know",2745
"wasn t",2738
"and that",2737
"in this",2718
"the state",2701
"had to",2689
"said he",2689
"that it",2685
"he is",2678
"i got",2674
"and we",2666
"kind of",2666
"has a",2657
"ll be",2619
"that you",2607
"the end",2596
"get a",2584
"won t",2579
"this week",2572
"be the",2569
"when the",2561
"m not",2550
"they were",2549
"me to",2544
"with my",2538
"in his",2537
"last year",2529
"let s",2527
"of this",2509
"from a",2484
"to say",2476
"i do",2460
"would have",2451
"we can",2449
"i hope",2444
"ve been",2444
"of course",2442
"what you",2400
"for you",2391
"how to",2386
"year old",2370
"it to",2368
"like the",2367
